mtPC1,mtPC2,mtPC3,data...6.
-8.08817,-21.2214,-0.0222631,T2c1a2
-5.47618,-6.44439,3.05571,J1c3e2
-0.708235,4.06311,-0.0134557,U8b1b1
-4.29712,-5.35228,2.478,J1c1h
-2.5181,2.70824,0.302162,H2a2a1
-2.39787,3.35766,0.560902,H2a2a1
-1.93908,1.83681,-0.145655,H2a2a1
-2.25554,3.07138,-0.693144,H2a2a1
47.5274,-9.90237,3.82928,H2a2a1
-2.76834,3.2336,0.278118,H15b1
-3.24766,1.13679,0.634474,H5e1b
-2.2438,2.66982,-0.222826,H2a2a1
-2.66557,1.20457,0.434221,H2a2a1
-2.31448,3.0387,-1.56262,H2a2a1
-3.00031,3.17357,-1.23175,H1e2d
1.89257,-0.723751,-42.4721,W6a
-1.72908,6.10164,3.04377,U5a1g
-3.33078,3.22172,0.783437,H13b1b
-0.0313955,3.11455,1.8848,U2e1'2'3
-2.08706,2.75792,-1.59096,H2a2a1h
-2.46795,3.03144,-0.240692,H2a2a1
-3.12061,2.60767,-0.781088,H2a2a1
-2.25111,2.79078,0.522128,H1q3
-0.698684,6.28041,2.45395,U5a1a1b
0.488229,7.29362,5.33042,K1a1b1
-2.22533,2.47662,-1.96474,H2a2a1
-2.52408,2.8668,0.171696,H44a
-2.59299,-6.24304,2.17445,J1d6
-7.14539,-19.9609,0.379046,T1a10
-7.04895,-20.8338,2.16621,T2
-0.112436,5.68031,2.79977,U5a1a2
-1.47858,3.25252,1.34638,U1a1c1b
-0.961183,5.56868,2.03623,U5a1g
-0.450291,7.10469,5.82996,K1a4f1
-2.02747,2.39566,0.523701,H2a2a1
