Affx-92047866A	Affx-92047866A.1	Affx-92047866B	Affx-92047866B.1
1294.18	1816.51	1479.88	6493.83
1340.07	1702.36	2048.26	8587.56
1345.35	1924.66	1524.26	7062.13
1369.92	2084.96	1413.71	9287.1
1272.3	1802.49	1256.04	8428.46
1246.95	1807.19	1602.83	9095.23
1383.88	2019.75	1429.12	7131.92
1459.51	2408.1	1781.8	9202.05
1303.05	1814.25	1463.15	9709.09
1457.63	2131.57	1309.29	5342.7
1226.19	1653.56	1475.01	7443.99
1290.87	2291.57	1624.44	8422.36
1276.1	1731.58	1493.93	7137.32
1151.65	1985.33	1303.26	7362.57
1379.92	1571.7	1639.1	7269.13
1366.35	1857.13	1727.6	6192.66
1319.35	1510.1	1498.05	6238.03
1458.33	1919.76	1677.6	7669.57
1307.75	1927.76	1534.91	12046.34
1736.36	1789.28	2621.05	9936.54
1436.82	1517.31	2071.73	6409.92
1429.09	1707.65	2283.27	7702.89
1342.47	1828.54	2075.17	10208.74
1396.24	2772.48	2444.13	2729.22
1047.39	1918.51	1460.18	13196.35
1215.79	1636.13	1845.26	5773.67
1237.04	1477.02	1660.67	6942.98
1226.7	1720.52	1357.41	6644.97
1409.23	1735.75	1904.36	8590.49
1372.7	1543.28	2302.79	6875.29
1863.07	1809.56	2150.44	11599.21
1492.1	1414.23	1622.01	8041.05
1464.22	1685.64	2015.21	6964.36
1409.84	1546.55	2667.98	8253.18
1228.76	1635.63	2681.69	6075.02
1307.67	1519.07	1676.06	11444.84
1225.71	1646.34	1458.84	6927.86
1287.84	1545.74	1786.15	4479.65
1324.82	1727.85	1506.32	7524.03
1318.55	1503.32	2083.78	8786.99
1277.77	1914.62	1661.61	5985.96
1511.12	1609.85	2336.88	10800.11
1527.41	1843.83	2297.48	11172.36
1433.45	1718.99	1697.2	6994.11
1432.74	1574.89	2083.31	7142.35
1319.52	1709.25	2386.16	8162.98
1405.97	1829.03	1678.85	5954.98
1297.72	1560.46	1859.53	9370.22
1389.1	1510.85	1860.38	7838.49
1234.09	1604.12	1553.84	6569.11
1208.0	1659.28	2241.5	9432.63
1425.15	1808.31	2021.09	4951.38
1531.83	1846.77	2604.36	7805.02
1515.15	1681.84	1994.03	9009.88
1431.16	1819.19	2344.98	11770.58
1321.71	1469.35	2033.09	7250.49
1367.27	1891.93	2389.78	5444.56
1414.31	1766.12	2165.14	6950.64
1363.31	1835.29	1780.16	5958.6
1305.99	1655.49	2242.91	6480.26
1327.37	1547.08	2407.29	8324.63
1194.49	1824.96	1377.53	6259.01
1306.9	1681.6	1886.18	7889.59
1251.07	1633.36	1507.85	8002.07
1287.18	1553.4	1887.44	9731.38
1352.84	1527.25	1920.71	8223.87
1559.96	1564.49	2024.86	10340.99
1335.09	1742.84	1908.05	6966.59
1169.17	2327.41	1394.04	1037.3
1258.94	1733.33	2041.6	10469.15
1288.9	1598.96	1481.12	5042.67
1412.46	1589.74	1845.33	8278.27
1319.99	1665.54	2050.99	6194.41
1405.74	1579.86	1526.64	8587.59
911.64	1721.99	1712.14	7606.05
1367.93	1522.66	1791.91	8484.74
1373.43	1890.49	2233.11	6436.36
1336.57	1616.76	1394.42	6810.94
1295.15	1723.33	1992.5	6742.47
1482.31	1549.6	2025.98	7012.21
1272.91	1513.6	1960.61	7957.54
1307.87	1573.44	1631.11	6085.09
1313.34	1661.63	2257.28	8093.55
1409.97	1590.66	1650.02	7520.67
1487.05	1476.43	1862.78	4202.18
1459.36	1514.82	1481.69	8331.14
1484.74	1667.51	1934.69	7249.93
1585.55	1689.45	1769.05	5963.89
1501.29	1823.59	2634.71	8287.08
1364.29	1828.39	1837.62	6467.5
1223.39	1574.22	1645.77	5973.18
1268.6	1726.48	1977.91	5345.79
1227.9	1516.69	1856.17	5416.46
1453.96	1422.92	1463.3	4864.35
1340.84	1541.37	1591.02	6749.41
1200.7	3254.73	1485.23	1158.71
1343.96	1558.26	1718.65	6774.14
1479.05	1503.79	2291.91	12843.22
1328.99	1579.75	1706.33	7962.38
1459.0	1780.95	2002.96	12069.07
1723.79	1822.13	2452.54	7537.47
1337.1	1565.24	1681.98	4149.22
1561.33	1478.34	1367.32	4885.54
1379.5	1415.64	1426.87	7339.38
1397.16	1676.23	1845.27	6353.53
1461.89	1994.17	1868.03	7113.02
1139.45	1628.3	1428.72	7400.42
1315.06	1504.64	1990.91	8460.38
1269.51	1730.63	1799.48	8453.23
1511.26	1895.08	1757.52	6971.18
1584.66	1743.28	1834.01	6565.3
1407.86	1688.67	1815.29	11600.47
1320.98	1904.47	1997.21	7732.05
1361.16	2084.5	1651.61	5245.97
1491.87	2144.72	1462.45	11198.91
1456.24	2011.09	2017.4	10072.28
1493.78	2575.54	1662.55	9866.59
1508.54	2067.87	1858.1	6214.29
1351.24	2031.74	1800.14	7794.27
1248.56	1915.34	1615.04	10848.91
1550.47	1636.7	1990.64	4613.66
1352.78	1935.42	1784.99	5773.97
1646.43	2201.17	2288.87	12925.89
1554.62	2081.45	2345.34	7182.38
1319.54	1772.96	1923.41	11462.56
1501.62	1816.92	1827.47	9655.45
1730.73	1954.09	2015.6	7627.75
1227.02	2081.37	1707.69	7010.43
1155.43	1811.13	1212.75	5982.01
1637.74	1904.67	2078.52	7787.84
1333.63	1703.87	1809.18	5922.03
1244.24	1816.79	1773.99	8416.53
1264.12	1726.46	1965.32	8885.04
1456.14	2004.41	1645.45	10281.79
1244.5	1673.25	1661.53	10647.78
1362.52	1933.05	1947.68	6801.61
1609.88	1903.85	2096.44	5648.1
1331.77	1844.67	1942.42	12243.31
1650.16	2295.53	1990.72	9713.28
1418.44	1843.79	2048.2	6419.15
1295.11	1841.52	1487.8	10711.99
1255.77	2697.36	1412.97	1333.27
1226.91	1650.51	1633.08	5997.74
1278.24	1672.45	1372.56	10218.31
1270.22	1979.38	1569.11	8872.96
895.01	1976.34	1839.31	4377.44
1510.71	1704.1	1576.43	7987.96
1654.45	1963.16	2259.91	8756.55
1603.67	1923.61	1644.85	6156.05
1356.55	1964.4	1535.61	5136.19
1375.54	2024.18	1949.34	8492.5
1582.16	2154.41	1756.23	8531.3
1186.32	2110.47	1288.49	9766.45
1419.29	2001.31	1437.0	7264.67
1131.8	1862.4	1355.56	8168.29
1184.3	2053.91	1546.2	8253.03
1336.0	1755.16	1551.71	6143.05
1374.71	1824.18	2588.3	8417.16
1305.77	1668.85	1000.61	4893.75
1551.27	1663.72	1658.07	5314.18
1414.53	1726.89	1371.54	11159.57
1492.69	2110.59	1664.64	9582.27
1285.64	2148.54	1726.29	6948.22
1747.28	2539.32	2449.18	9904.56
1440.45	1962.75	1966.77	7788.97
1369.6	1930.48	1647.56	5914.41
1358.0	1867.13	1379.95	8450.84
1494.67	2011.85	1969.78	8333.96
1493.62	1716.12	1793.49	9144.78
1324.53	1750.44	1699.52	6166.44
1199.44	1711.43	1609.37	6745.94
1407.15	1890.22	1603.41	10750.71
1314.45	1883.75	1601.95	5951.81
1256.91	1895.47	1266.49	7645.11
1434.07	2013.26	1704.54	5872.76
1455.37	1765.19	1449.05	6642.43
1376.62	2312.55	1579.32	6239.4
1173.9	2008.64	1298.67	6932.66
1440.6	1888.85	1613.88	4626.72
1464.44	1836.98	1545.85	7260.41
1367.2	1795.5	1633.06	8979.74
1333.08	1723.32	1696.19	8100.25
1545.36	1592.35	1760.01	6226.08
1794.57	2267.94	2039.54	7250.24
1357.34	2311.91	1623.13	5311.94
1534.12	2817.52	1296.4	1862.44
1182.59	2059.53	1540.29	8037.36
1251.88	1879.5	1336.22	7273.07
1030.69	2010.15	1895.64	5621.38
1129.28	1965.04	1259.83	6861.08
1226.29	1823.15	1485.36	7327.13
1202.77	1650.85	1551.97	9126.97
1111.21	1930.25	1640.23	6853.6
1614.3	1955.69	2185.8	6442.19
1266.53	1704.67	1434.94	5149.35
1288.75	1894.0	1443.79	4506.33
1247.88	1639.53	1580.56	7761.02
1332.44	2308.48	1723.21	5866.38
1250.15	1895.82	1741.8	6314.0
1196.46	1776.5	1347.14	3746.33
1364.72	1673.93	1387.14	4903.86
1288.28	1763.91	1393.51	7233.68
1257.61	1634.08	1450.39	7450.6
1281.42	1729.13	1511.85	9516.33
1076.83	1739.32	1324.88	8626.99
2204.92	2849.34	3869.22	10305.87
1326.46	2072.68	2129.23	6586.26
1541.09	2196.33	2314.84	6113.62
1389.71	1891.31	1943.75	11775.66
1420.61	1669.06	1854.77	9142.96
1516.37	1885.05	1619.03	6779.41
1415.48	2005.16	1686.55	6697.03
1242.52	2124.4	1768.43	9411.01
1428.76	1811.58	2034.43	10100.62
1532.23	2276.23	2245.99	8564.41
1839.14	1998.79	2049.04	8704.51
1698.11	2270.57	2268.76	8774.77
1481.17	1910.95	1858.5	7570.8
1604.45	2091.26	3051.05	8897.0
1514.27	2248.06	1953.03	9323.51
1344.14	2256.24	1779.84	5672.45
1536.86	1918.75	2076.5	9456.63
1304.02	1930.96	1711.63	9687.25
1539.77	1965.54	2066.21	9474.25
1366.26	1761.26	1542.74	11719.94
1588.38	1910.38	2145.66	9237.64
1461.82	1949.97	2262.95	8665.57
1380.19	1694.44	2039.54	7796.86
1598.11	1852.35	2117.32	10234.75
1510.15	1946.58	2060.71	9946.94
1481.04	2016.42	2326.88	7501.34
1446.16	3288.36	1642.54	1556.3
1179.21	1961.86	1356.57	9030.34
1187.89	1798.42	1614.45	6838.37
1381.83	2453.8	1883.0	10898.07
1262.08	1816.68	1856.36	13026.24
1593.76	2124.23	2008.43	8847.07
1485.56	1829.51	2178.03	10584.57
1773.24	2214.18	2415.59	8561.41
1395.48	1788.08	1620.1	9604.69
1374.96	1914.01	1640.33	7138.8
1522.18	2277.21	2033.56	5912.28
1451.16	2004.47	1773.52	9967.42
1210.68	1909.15	1526.77	11105.81
1276.17	2246.13	1699.83	8321.15
1182.08	2018.19	1879.12	9481.12
1097.36	1681.58	1587.45	7472.18
1249.67	1852.66	1435.38	8938.71
1529.18	2068.7	1807.39	12714.62
1620.32	2157.89	2188.31	9120.61
1662.3	1960.84	2298.42	10699.1
1324.96	1716.24	2144.34	11856.47
1344.36	1945.47	1926.75	7977.89
1538.03	2194.0	2150.04	10136.39
1328.35	2069.07	1419.53	12292.05
1381.28	2153.88	1880.85	13908.07
1285.13	2011.97	1719.55	7219.86
1126.58	1809.93	1339.15	8706.17
1133.53	1787.64	1487.04	7874.57
1215.71	3262.88	1803.31	1855.61
1537.53	1868.37	2148.72	12031.87
1349.85	1848.48	1791.9	9213.6
1858.86	1965.02	2523.45	8098.49
1662.44	1905.67	2262.32	10691.88
1651.42	1943.46	1972.05	8140.75
1659.09	2122.41	1815.4	9315.7
1414.02	2130.56	2002.66	9347.78
1550.56	2269.73	1925.93	13822.04
1456.74	1802.31	1846.71	9959.19
1564.86	1821.81	2136.65	9796.08
1830.76	1950.65	2356.6	8679.68
1587.04	2044.5	2093.97	10921.31
1516.13	2018.54	2364.04	15492.04
1677.22	2167.91	2883.86	10737.63
1244.95	2044.22	1851.27	8531.89
1326.96	1924.01	1787.6	9298.22
1392.22	2057.08	1925.96	11105.68
1297.1	1912.04	1917.57	8033.89
1482.83	2018.71	1789.01	9178.4
1336.58	1959.76	1668.08	9803.36
1239.05	1940.92	1437.65	7311.53
1434.94	2040.67	1716.17	12135.31
1445.78	1905.83	1746.05	6940.64
1415.55	1817.42	1879.48	8051.77
1616.42	1979.58	1964.84	12189.63
1667.97	2235.62	1986.77	9186.42
1319.94	1802.82	1643.46	8478.43
1492.42	1979.46	2016.7	9244.11
1322.24	1997.2	1873.81	9278.09
1387.02	1824.1	1825.92	10022.19
1243.58	1620.65	1316.33	6264.0
1323.83	2102.53	1745.12	10354.03
1320.9	1974.74	1536.29	11293.14
1399.05	2006.06	1883.77	8684.15
1294.26	1664.89	1671.53	7771.05
1489.73	1831.84	1637.7	8351.33
1637.83	2220.29	2119.83	11943.02
1944.18	2130.15	3024.12	8864.49
1519.89	1761.47	2052.72	7724.57
1358.29	1783.27	1847.65	9670.46
1716.14	1803.04	2408.29	8278.62
1380.82	1814.43	2166.14	10213.87
1718.14	2027.52	2284.71	10302.68
1350.65	1814.82	1851.28	8516.15
1548.2	1677.54	2239.28	8779.29
1479.71	1744.94	2050.96	10014.78
1837.97	2380.19	2699.77	9982.42
1535.22	1910.23	2001.88	11601.76
1397.74	1728.47	1815.96	9834.52
1407.36	1899.07	2213.08	8364.92
1535.74	2180.24	2298.95	13299.93
1610.09	2251.16	2408.92	10568.54
1589.01	2043.61	2407.53	9112.72
1493.44	2035.38	1612.85	8600.5
1546.52	1772.2	1934.99	10905.77
1514.18	1674.69	2375.71	13150.81
1449.06	1834.78	2320.31	8654.84
1351.17	1929.27	2223.06	9947.86
1784.07	3166.54	2366.16	1722.23
1466.34	1770.44	1974.95	9136.48
1404.16	2194.82	2026.28	11743.92
1654.83	2158.47	2392.65	9585.47
1396.37	1817.85	1988.49	9960.18
1291.29	1566.63	1469.11	12213.44
1566.57	1982.22	2162.26	13481.28
1873.94	1906.92	2498.34	10500.02
1412.54	1637.82	2219.41	13385.0
1830.2	1947.13	2129.89	11116.22
1535.03	2043.55	2327.51	12690.09
1626.11	1795.82	2386.3	8605.33
1509.58	1834.2	2072.76	11183.36
1450.4	1992.82	1944.07	11112.8
1389.82	1979.68	2345.1	10027.01
1557.01	1920.06	1849.02	7069.48
1603.83	1927.45	1902.49	10932.76
1651.84	1924.22	2295.46	10485.8
1528.7	2061.45	2238.35	9192.63
1629.67	1773.41	2029.88	8336.88
1454.43	1972.95	2134.08	10626.28
1611.9	2005.98	1754.76	8903.94
1526.72	1924.79	2234.49	11605.09
1585.5	2050.64	2154.18	11335.76
1495.21	2192.2	1980.68	8919.17
1455.15	2328.21	2123.76	7955.55
1521.02	1774.26	2463.69	8088.7
1672.16	2294.99	2978.35	12254.54
1544.8	1906.69	2081.53	9748.67
1489.64	1777.92	1916.55	13464.05
1589.09	2126.33	2545.14	9224.53
1511.98	1895.94	2179.1	9506.47
1498.29	1737.67	1757.27	7556.32
1487.22	1957.46	2246.73	9759.95
1466.47	2078.9	1978.62	10292.46
1853.44	2242.43	2946.06	15357.0
2120.25	2200.68	2403.11	9351.32
1618.47	1936.87	2376.61	7467.0
1665.93	2274.47	2372.05	13024.38
1423.3	1858.49	2123.61	14278.52
1867.56	1960.56	2252.9	9691.54
1520.74	1834.36	1932.16	7199.4
1367.82	1773.97	1576.0	8676.42
1469.85	1938.93	1901.5	8234.1
1314.13	2013.57	2048.14	8904.03
1391.94	1849.39	1971.7	9378.01
1416.35	2070.48	2052.63	9104.25
1415.82	1807.15	1777.61	7261.58
1309.98	1806.86	2023.8	11457.84
1462.53	1968.93	1640.91	9285.58
1533.41	2053.83	2225.86	9563.56
1574.13	1788.33	2006.78	10380.59
1601.56	2028.51	2251.97	10534.1
1314.34	1818.23	1737.34	10434.57
1433.71	1905.33	1994.74	8466.37
1516.65	1858.69	1988.99	8376.33
1315.85	2061.16	1935.39	7928.43
1452.62	1847.62	2431.42	7378.35
1580.13	1986.73	1871.79	7653.88
1291.53	3095.46	1822.57	1180.52
1637.19	1771.6	1623.51	6595.41
1534.53	1848.54	1483.9	7735.72
1571.83	1709.47	2016.81	11950.32
1114.67	1548.0	1598.44	8810.41
1454.61	1868.36	1683.21	10461.53
1373.55	1608.15	1653.02	9715.45
1521.01	2077.89	1953.5	10620.21
1349.2	1836.21	1617.51	7750.51
1230.06	1843.57	1875.71	9722.78
1504.62	1900.98	1797.71	10274.04
1338.48	3275.78	1584.38	1602.13
1384.85	2014.48	1406.79	10233.86
1427.33	1952.53	1666.56	12076.14
1253.34	1525.35	1664.11	9670.6
1458.16	2017.25	1538.46	11357.07
1200.64	1961.6	1345.95	10481.28
1353.11	1652.36	1606.65	9206.98
1455.03	2096.0	1820.44	10285.79
1182.24	1879.42	1517.7	8929.8
1325.93	1894.92	1453.03	6725.34
1497.23	1747.58	1544.44	10103.05
1300.87	1858.68	1791.41	12615.49
1378.63	2105.35	1695.88	13778.47
1389.17	1695.51	1923.21	12241.24
1295.29	1836.35	1898.88	9479.14
1519.13	1861.42	1798.89	8221.36
1219.16	1847.38	1685.15	14572.25
1145.48	1971.02	1289.01	7819.95
1195.44	1753.6	1537.25	8544.2
1224.02	1646.23	1592.98	9336.11
1263.34	2278.72	1375.34	10594.96
1227.74	1842.9	1240.88	10620.23
1185.2	1960.39	1559.67	10409.8
1122.11	2352.01	1607.66	11189.63
1253.29	2200.52	1645.13	11032.75
1292.89	1905.14	1388.5	9238.85
1254.73	1602.49	1885.45	9998.54
1303.26	1803.28	1778.22	12580.8
1352.98	1785.83	1585.24	8898.21
1210.9	1713.5	1464.47	7804.86
1069.63	1975.93	1186.24	9121.93
1172.66	1932.99	1317.74	8837.02
1165.34	2194.2	1261.76	9320.35
1326.46	1978.07	1553.51	11848.93
1220.5	1976.69	1411.97	9499.67
1168.93	1908.68	1411.15	11713.73
1242.67	1975.83	1399.78	9609.47
1482.41	1990.08	2096.79	9040.16
1394.51	1723.13	1915.49	10461.94
1430.34	2048.76	1948.36	11371.57
1279.42	2016.77	1501.16	7484.95
1250.08	2005.89	1649.22	10899.38
1164.43	1823.33	1449.26	8574.82
1199.45	1893.61	1583.62	8499.16
1212.55	2188.5	1497.9	10320.17
1281.46	1898.86	1416.94	8463.04
1291.61	1814.98	1347.94	8139.92
1366.63	2205.17	1897.46	12468.52
1232.55	2230.59	1893.84	9158.25
1304.99	1650.79	1559.5	11872.76
1212.79	2843.63	1922.78	2367.98
1251.18	1867.16	1704.65	10640.86
1223.67	1997.56	1463.55	12116.64
1310.34	1751.54	1648.04	10507.56
1306.24	1958.18	1551.56	10134.16
1147.63	1990.76	1283.0	9019.75
1218.07	2076.02	1561.44	7833.19
1373.96	1928.7	1592.2	9664.55
